LHA,cases_per_100k,Date
Fernie,3.9,2021-05-25
Cranbrook,0,2021-05-25
Kimberley,1.4,2021-05-25
Windermere,0,2021-05-25
Creston,2.1,2021-05-25
Golden,1.8,2021-05-25
Kootenay Lake,0,2021-05-25
Nelson,0.5,2021-05-25
Castlegar,0,2021-05-25
Arrow Lakes,0,2021-05-25
Trail,0.6,2021-05-25
Grand Forks,1.4,2021-05-25
Kettle Valley,0,2021-05-25
Southern Okanagan,9.1,2021-05-25
Penticton,3.1,2021-05-25
Keremeos,2.5,2021-05-25
Princeton,2.3,2021-05-25
Armstrong/Spallumcheen,5,2021-05-25
Vernon,3.2,2021-05-25
Central Okanagan,13.2,2021-05-25
Summerland,6.4,2021-05-25
Enderby,1.7,2021-05-25
Revelstoke,0,2021-05-25
Salmon Arm,2.3,2021-05-25
Kamloops,1.9,2021-05-25
100 Mile House,0,2021-05-25
North Thompson,3.3,2021-05-25
Cariboo/Chilcotin,2.7,2021-05-25
Lillooet,0,2021-05-25
South Cariboo,0,2021-05-25
Merritt,2.1,2021-05-25
Hope,9.5,2021-05-25
Chilliwack,9.6,2021-05-25
Abbotsford,19.3,2021-05-25
Mission,9.7,2021-05-25
Agassiz/Harrison,3.9,2021-05-25
New Westminster,7,2021-05-25
Burnaby,8.8,2021-05-25
Maple Ridge/Pitt Meadows,6.4,2021-05-25
Tri-Cities,7.9,2021-05-25
Langley,7.9,2021-05-25
Delta,12.1,2021-05-25
Surrey,17.3,2021-05-25
South Surrey/White Rock,3.6,2021-05-25
Richmond,3,2021-05-25
Vancouver - City Centre,7.1,2021-05-25
Vancouver - Centre North,9.6,2021-05-25
Vancouver - Northeast,9.8,2021-05-25
Vancouver - Westside,1.6,2021-05-25
Vancouver - Midtown,8.2,2021-05-25
Vancouver - South,10.5,2021-05-25
North Vancouver,4.1,2021-05-25
West Vancouver/Bowen Island,0.5,2021-05-25
Sunshine Coast,3.9,2021-05-25
Powell River,0.7,2021-05-25
Howe Sound,1,2021-05-25
Bella Coola Valley,4.4,2021-05-25
Central Coast,0,2021-05-25
Greater Victoria,0.6,2021-05-25
Western Communities,0.9,2021-05-25
Saanich Peninsula,0.2,2021-05-25
Southern Gulf Islands,0,2021-05-25
Cowichan Valley South,0.6,2021-05-25
Cowichan Valley West,0,2021-05-25
Cowichan Valley North,0,2021-05-25
Greater Nanaimo,3,2021-05-25
Oceanside,1.4,2021-05-25
Alberni/Clayoquot,0,2021-05-25
Comox Valley,2.9,2021-05-25
Greater Campbell River,0.6,2021-05-25
Vancouver Island West,0,2021-05-25
Vancouver Island North,0,2021-05-25
Haida Gwaii,0,2021-05-25
Prince Rupert,0,2021-05-25
Upper Skeena,6.6,2021-05-25
Smithers,6.9,2021-05-25
Kitimat,0,2021-05-25
Terrace,2,2021-05-25
Nisga'a,0,2021-05-25
Quesnel,3.5,2021-05-25
Burns Lake,0,2021-05-25
Nechako,5,2021-05-25
Prince George,4.7,2021-05-25
Peace River South,6.8,2021-05-25
Peace River North,21.7,2021-05-25
Fort Nelson,35.1,2021-05-25
Snow Country - Stikine - Telegraph Creek,0,2021-05-25
Fernie,3,2021-05-28
Cranbrook,3,2021-05-28
Kimberley,1,2021-05-28
Windermere,1,2021-05-28
Creston,1,2021-05-28
Golden,5,2021-05-28
Kootenay Lake,0,2021-05-28
Nelson,1,2021-05-28
Castlegar,0,2021-05-28
Arrow Lakes,0,2021-05-28
Trail,0,2021-05-28
Grand Forks,0,2021-05-28
Kettle Valley,0,2021-05-28
Southern Okanagan,5,2021-05-28
Penticton,3,2021-05-28
Keremeos,2,2021-05-28
Princeton,0,2021-05-28
Armstrong/Spallumcheen,6,2021-05-28
Vernon,7,2021-05-28
Central Okanagan,12,2021-05-28
Summerland,6,2021-05-28
Enderby,3,2021-05-28
Revelstoke,1,2021-05-28
Salmon Arm,2,2021-05-28
Kamloops,2,2021-05-28
100 Mile House,0,2021-05-28
North Thompson,3,2021-05-28
Cariboo/Chilcotin,2,2021-05-28
Lillooet,0,2021-05-28
South Cariboo,0,2021-05-28
Merritt,5,2021-05-28
Hope,5,2021-05-28
Chilliwack,7,2021-05-28
Abbotsford,13,2021-05-28
Mission,9,2021-05-28
Agassiz/Harrison,0,2021-05-28
New Westminster,6,2021-05-28
Burnaby,7,2021-05-28
Maple Ridge/Pitt Meadows,6,2021-05-28
Tri-Cities,6,2021-05-28
Langley,6,2021-05-28
Delta,9,2021-05-28
Surrey,14,2021-05-28
South Surrey/White Rock,2,2021-05-28
Richmond,3,2021-05-28
Vancouver - City Centre,7,2021-05-28
Vancouver - Centre North,11,2021-05-28
Vancouver - Northeast,9,2021-05-28
Vancouver - Westside,1,2021-05-28
